Treatment,Repet,Trat,Subst,Rate,Height,Diameter,H/D,SDM,RDM,S/R,DQI
R0,1,1,1,0,40.9,5.5,7.5,6.10,4.55,1.34,1.2
R0,2,1,1,0,37.3,5.3,7.0,5.29,4.73,1.12,1.2
R0,3,1,1,0,31.8,5.1,6.2,7.08,5.20,1.36,1.6
R0,4,1,1,0,39.7,5.0,7.9,7.19,5.12,1.41,1.3
R3,1,2,1,3,38.8,4.8,8.1,5.91,4.41,1.34,1.1
R3,2,2,1,3,41.6,5.1,8.2,6.07,4.37,1.39,1.1
R3,3,2,1,3,41.0,5.2,7.8,6.91,4.86,1.42,1.3
R3,4,2,1,3,41.8,5.5,7.6,7.28,4.46,1.63,1.3
R6,1,3,1,6,41.7,5.1,8.1,6.81,5.24,1.30,1.3
R6,2,3,1,6,46.4,5.6,8.2,6.39,5.95,1.08,1.3
R6,3,3,1,6,43.6,5.4,8.1,5.45,5.06,1.08,1.2
R6,4,3,1,6,44.5,5.8,7.7,6.25,6.51,0.96,1.5
R12,1,4,1,12,33.2,4.7,7.0,6.33,4.93,1.28,1.4
R12,2,4,1,12,35.6,5.1,7.0,7.94,7.18,1.11,1.9
R12,3,4,1,12,37.3,5.0,7.5,5.55,4.94,1.12,1.2
R12,4,4,1,12,37.8,5.2,7.3,5.22,6.14,0.85,1.4
R0,1,5,2,0,4.4,0.9,4.6,3.19,3.05,1.05,1.1
R0,2,5,2,0,3.7,0.9,3.9,3.09,3.10,1.00,1.3
R0,3,5,2,0,3.8,1.0,3.8,3.03,2.96,1.02,1.2
R0,4,5,2,0,4.0,1.0,4.2,3.22,3.08,1.04,1.2
R3,1,6,2,3,31.5,5.6,5.6,5.33,5.22,1.02,1.6
R3,2,6,2,3,27.6,4.9,5.6,6.89,6.16,1.12,1.9
R3,3,6,2,3,36.4,5.7,6.4,5.19,3.99,1.30,1.2
R3,4,6,2,3,31.1,5.1,6.1,5.67,5.25,1.08,1.5
R6,1,7,2,6,44.8,5.3,8.4,5.92,4.33,1.37,1.0
R6,2,7,2,6,44.1,5.2,8.4,5.69,4.25,1.34,1.0
R6,3,7,2,6,44.4,5.1,8.8,5.87,4.58,1.28,1.0
R6,4,7,2,6,47.2,5.3,8.9,6.82,4.90,1.39,1.1
R12,1,8,2,12,43.1,5.5,7.9,7.61,5.18,1.47,1.4
R12,2,8,2,12,44.1,5.6,7.8,6.59,4.96,1.33,1.3
R12,3,8,2,12,43.8,4.9,8.9,5.79,4.13,1.40,1.0
R12,4,8,2,12,45.5,5.2,8.8,5.78,3.98,1.45,1.0
